Date,Last Price,Volume
1/7/25 11:45,55.295,26571
1/7/25 12:00,55.69,17344
1/7/25 12:15,55.66,13151
1/7/25 12:30,55.41,32241
1/7/25 12:45,55.43,38637
1/7/25 13:00,55.63,31297
1/7/25 13:15,55.825,35511
1/7/25 13:30,55.63,38137
1/7/25 13:45,55.64,14291
1/7/25 14:00,55.725,13950
1/7/25 14:15,55.84,11167
1/7/25 14:30,55.76,20026
1/7/25 14:45,55.665,23106
1/7/25 15:00,55.38,18143
1/7/25 15:15,55.36,36905
1/7/25 15:30,55.185,44704
1/7/25 15:45,55.45,127156
1/8/25 9:30,54.9903,34337
1/8/25 9:45,54.985,16207
1/8/25 10:00,54.7035,19962
1/8/25 10:15,54.98,43688
1/8/25 10:30,54.92,13343
1/8/25 10:45,55.08,11731
1/8/25 11:00,54.94,11295
1/8/25 11:15,54.9371,28696
1/8/25 11:30,55.14,7668
1/8/25 11:45,55.246,7574
1/8/25 12:00,55.0303,13823
1/8/25 12:15,54.745,22918
1/8/25 12:30,54.59,25660
1/8/25 12:45,54.705,7840
1/8/25 13:00,54.98,10450
1/8/25 13:15,54.985,18515
1/8/25 13:30,54.91,24310
1/8/25 13:45,54.63,24110
1/8/25 14:00,54.9676,23528
1/8/25 14:15,55.09,19766
1/8/25 14:30,54.975,18744
1/8/25 14:45,54.95,49899
1/8/25 15:00,54.71,29616
1/8/25 15:15,54.92,21826
1/8/25 15:30,54.89,47528
1/8/25 15:45,55,172932
1/10/25 9:30,53.045,107521
1/10/25 9:45,52.32,64797
1/10/25 10:00,52.2,41264
1/10/25 10:15,52.905,46562
1/10/25 10:30,52.76,91897
1/10/25 10:45,52.54,21898
1/10/25 11:00,52.43,39184
1/10/25 11:15,52.5371,31382
1/10/25 11:30,52.4145,36974
1/10/25 11:45,51.96,21188
1/10/25 12:00,52.055,37562
1/10/25 12:15,52.18,17723
1/10/25 12:30,52.565,15777
1/10/25 12:45,52.4,14509
1/10/25 13:00,52.37,11378
1/10/25 13:15,52.345,12650
1/10/25 13:30,52.44,14012
1/10/25 13:45,52.26,30482
1/10/25 14:00,52,25508
1/10/25 14:15,51.935,44790
1/10/25 14:30,52.005,32932
1/10/25 14:45,51.84,66689
1/10/25 15:00,51.46,39547
1/10/25 15:15,51.545,70361
1/10/25 15:30,51.775,89180
1/10/25 15:45,52.08,236278
1/13/25 9:30,49.84,137802
1/13/25 9:45,49.825,27230
1/13/25 10:00,49.89,60102
1/13/25 10:15,49.415,81314
1/13/25 10:30,49.74,58260
1/13/25 10:45,49.475,25278
1/13/25 11:00,49.245,57757
1/13/25 11:15,49.175,36561
1/13/25 11:30,49.27,41618
1/13/25 11:45,49.085,24306
1/13/25 12:00,49.5743,55533
1/13/25 12:15,49.835,24168
1/13/25 12:30,49.54,24549
1/13/25 12:45,49.9,27439
1/13/25 13:00,49.865,27873
1/13/25 13:15,49.71,31268
1/13/25 13:30,49.81,28965
1/13/25 13:45,49.65,32754
1/13/25 14:00,49.385,29692
1/13/25 14:15,49.405,42650
1/13/25 14:30,49.47,38559
1/13/25 14:45,49.15,37666
1/13/25 15:00,49.2,42763
1/13/25 15:15,49.28,32314
1/13/25 15:30,49.55,54768
1/13/25 15:45,49.71,218326
1/14/25 9:30,51.015,71044
1/14/25 9:45,50.48,30052
1/14/25 10:00,51.255,14237
1/14/25 10:15,51.47,21559
1/14/25 10:30,50.92,16936
1/14/25 10:45,50.705,7073
1/14/25 11:00,50.59,8869
1/14/25 11:15,50.58,10685
1/14/25 11:30,50.42,14695
1/14/25 11:45,50.34,8023
1/14/25 12:00,50.4,8384
1/14/25 12:15,50.305,13955
1/14/25 12:30,50.44,8796
1/14/25 12:45,50.47,9300
1/14/25 13:00,50.57,9011
1/14/25 13:15,50.82,9666
1/14/25 13:30,50.87,8561
1/14/25 13:45,51.09,15655
1/14/25 14:00,50.905,65583
1/14/25 14:15,50.825,14793
1/14/25 14:30,50.82,16654
1/14/25 14:45,50.4938,7325
1/14/25 15:00,50.21,11700
1/14/25 15:15,50.45,21859
1/14/25 15:30,50.41,25698
1/14/25 15:45,50.78,150702
1/15/25 9:30,51.81,34493
1/15/25 9:45,51.87,15310
1/15/25 10:00,51.89,17456
1/15/25 10:15,52.44,22355
1/15/25 10:30,52.48,11674
1/15/25 10:45,52.33,24530
1/15/25 11:00,52.49,20998
1/15/25 11:15,52.44,13892
1/15/25 11:30,52.4,29797
1/15/25 11:45,52.3801,11997
1/15/25 12:00,52.51,10593
1/15/25 12:15,52.45,6436
1/15/25 12:30,52.29,26451
1/15/25 12:45,52.29,32685
1/15/25 13:00,52.3,19258
1/15/25 13:15,52.53,10489
1/15/25 13:30,52.44,12149
1/15/25 13:45,52.44,7929
1/15/25 14:00,52.605,11909
1/15/25 14:15,52.75,38851
1/15/25 14:30,52.77,8065
1/15/25 14:45,52.77,12547
1/15/25 15:00,52.81,29466
1/15/25 15:15,52.94,63281
1/15/25 15:30,52.87,62336
1/15/25 15:45,53,182639
1/16/25 9:30,52.925,18410
1/16/25 9:45,52.88,8657
1/16/25 10:00,52.7044,14720
1/16/25 10:15,52.605,5665
1/16/25 10:30,52.315,5105
1/16/25 10:45,52.76,9788
1/16/25 11:00,53.1,9895
1/16/25 11:15,53.16,7094
1/16/25 11:30,52.77,8625
1/16/25 11:45,53.01,8507
1/16/25 12:00,53.18,6210
1/16/25 12:15,53.165,2958
1/16/25 12:30,53,4820
1/16/25 12:45,53.01,5218
1/16/25 13:00,53.0821,3672
1/16/25 13:15,52.99,5865
1/16/25 13:30,52.9304,5051
1/16/25 13:45,52.875,5442
1/16/25 14:00,52.96,23444
1/16/25 14:15,53.3,39594
1/16/25 14:30,53.195,9394
1/16/25 14:45,53.27,6765
1/16/25 15:00,53.145,12131
1/16/25 15:15,52.95,10285
1/16/25 15:30,52.92,11920
1/16/25 15:45,53.21,108734
1/17/25 9:30,53.12,13439
1/17/25 9:45,53.09,4641
1/17/25 10:00,53.235,8618
1/17/25 10:15,53.13,9591
1/17/25 10:30,53.36,15594
1/17/25 10:45,53.71,20716
1/17/25 11:00,53.74,10269
1/17/25 11:15,53.9,13492
1/17/25 11:30,53.8,13066
1/17/25 11:45,53.8,7389
1/17/25 12:00,53.95,11969
1/17/25 12:15,54.0063,13909
1/17/25 12:30,53.875,9379
1/17/25 12:45,53.9,3892
1/17/25 13:00,54.055,18917
1/17/25 13:15,54.03,7036
1/17/25 13:30,53.9899,5761
1/17/25 13:45,54.25,15985
1/17/25 14:00,54.234,14857
1/17/25 14:15,54.4,14763
1/17/25 14:30,54.225,14052
1/17/25 14:45,54.145,10953
1/17/25 15:00,54.15,11136
1/17/25 15:15,54.15,16055
1/17/25 15:30,54.06,19503
1/17/25 15:45,53.7,102655
1/21/25 9:30,54.395,42352
1/21/25 9:45,54.3277,19593
1/21/25 10:00,53.56,11862
1/21/25 10:15,54.04,10935
1/21/25 10:30,54.44,9937
1/21/25 10:45,54.59,8050
1/21/25 11:00,54.67,10046
1/21/25 11:15,54.65,9734
